gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
021825,000003,20160201,,S&P 500 Comp-Ltd,I0003,CITIZENS FINANCIAL GROUP INC,CFG,174610105
177884,000003,20160222,,S&P 500 Comp-Ltd,I0003,CONCHO RESOURCES INC,CXO,20605P101
179437,000003,20160304,,S&P 500 Comp-Ltd,I0003,AMERICAN WATER WORKS CO INC,AWK,030420103
010894,000003,20160307,,S&P 500 Comp-Ltd,I0003,UDR INC,UDR,902653104
020904,000003,20160330,,S&P 500 Comp-Ltd,I0003,HOLOGIC INC,HOLX,436440101
145552,000003,20160330,,S&P 500 Comp-Ltd,I0003,CENTENE CORP,CNC,15135B101
011584,000003,20160404,,S&P 500 Comp-Ltd,I0003,FOOT LOCKER INC,FL,344849104
165052,000003,20160408,,S&P 500 Comp-Ltd,I0003,UNDER ARMOUR INC,UAA,904311206
178704,000003,20160418,,S&P 500 Comp-Ltd,I0003,ULTA BEAUTY INC,ULTA,90384S303
141913,000003,20160425,,S&P 500 Comp-Ltd,I0003,GLOBAL PAYMENTS INC,GPN,37940X102
146017,000003,20160503,,S&P 500 Comp-Ltd,I0003,ACUITY BRANDS INC,AYI,00508Y102
001230,000003,20160513,,S&P 500 Comp-Ltd,I0003,ALASKA AIR GROUP INC,ALK,011659109
024609,000003,20160513,20160515,S&P 500 Comp-Ltd,I0003,,,
027119,000003,20160516,20160516,S&P 500 Comp-Ltd,I0003,INGEVITY CORP,NGVT,45688C107
160991,000003,20160518,,S&P 500 Comp-Ltd,I0003,DIGITAL REALTY TRUST INC,DLR,253868103
155394,000003,20160523,,S&P 500 Comp-Ltd,I0003,LKQ CORP,LKQ,501889208
004973,000003,20160531,,S&P 500 Comp-Ltd,I0003,ARTHUR J GALLAGHER & CO,AJG,363576109
148349,000003,20160603,,S&P 500 Comp-Ltd,I0003,TRANSDIGM GROUP INC,TDG,893641100
188255,000003,20160624,,S&P 500 Comp-Ltd,I0003,FORTUNE BRANDS HOME & SECUR,FBHS,34964C106
011554,000003,20160701,,S&P 500 Comp-Ltd,I0003,ALLIANT ENERGY CORP,LNT,018802108
029751,000003,20160701,,S&P 500 Comp-Ltd,I0003,ALBEMARLE CORP,ALB,012653101
026590,000003,20160705,,S&P 500 Comp-Ltd,I0003,FORTIVE CORP,FTV,34959J108
065772,000003,20160906,,S&P 500 Comp-Ltd,I0003,METTLER-TOLEDO INTL INC,MTD,592688105
014489,000003,20160907,20160907,S&P 500 Comp-Ltd,I0003,DELL TECHNOLOGIES INC,DVMT,24703L103
126136,000003,20160908,,S&P 500 Comp-Ltd,I0003,CHARTER COMMUNICATIONS INC,CHTR,16119P108
003504,000003,20160923,,S&P 500 Comp-Ltd,I0003,COOPER COMPANIES INC,COO,216648402
012151,000003,20161003,,S&P 500 Comp-Ltd,I0003,COTY INC,COTY,222070203
026709,000003,20161003,20161003,S&P 500 Comp-Ltd,I0003,VERSUM MATERIALS INC,VSM,92532W103
028070,000003,20161003,20161003,S&P 500 Comp-Ltd,I0003,ADVANSIX INC,ASIX,00773T101
027333,000003,20161031,20161031,S&P 500 Comp-Ltd,I0003,ADIENT PLC,ADNT,G0084W101
028192,000003,20161101,,S&P 500 Comp-Ltd,I0003,ARCONIC INC,ARNC,03965L100
027638,000003,20161101,20161101,S&P 500 Comp-Ltd,I0003,ALCOA CORP,AA,013872106
027800,000003,20161101,20161101,S&P 500 Comp-Ltd,I0003,QUALITY CARE PROPERTIES INC,QCP,747545101
028499,000003,20161101,20161101,S&P 500 Comp-Ltd,I0003,YUM CHINA HOLDINGS INC,YUMC,98850P109
028790,000003,20161110,20161110,S&P 500 Comp-Ltd,I0003,LAMB WESTON HOLDINGS INC,LW,513272104
