Date,ShortVolume,ShortExemptVolume,TotalVolume
2016-06-06,36665.0,0.0,102501.0
2016-06-03,30289.0,0.0,153784.0
2016-06-02,67056.0,0.0,194497.0
2016-06-01,72214.0,0.0,135906.0
2016-05-31,38315.0,0.0,84976.0
2016-05-27,76500.0,0.0,142037.0
2016-05-26,92485.0,0.0,283660.0
2016-05-25,79436.0,0.0,289813.0
2016-05-24,123619.0,0.0,378203.0
2016-05-23,287598.0,0.0,397269.0
2016-05-20,56755.0,0.0,989180.0
2016-05-19,20713.0,0.0,51457.0
2016-05-18,136943.0,0.0,186314.0
2016-05-17,135031.0,100.0,553744.0
2016-05-16,165782.0,0.0,418210.0
2016-05-13,67281.0,0.0,209279.0
2016-05-12,68495.0,0.0,121615.0
2016-05-11,35290.0,5713.0,96724.0
2016-05-10,256919.0,103459.0,3473562.0
2016-05-09,31448.0,0.0,155834.0
2016-05-06,34986.0,0.0,75764.0
2016-05-05,27811.0,0.0,69519.0
2016-05-04,34859.0,0.0,48393.0
2016-05-03,29990.0,0.0,70970.0
2016-05-02,30667.0,0.0,155820.0
2016-04-29,7796.0,4100.0,55315.0
2016-04-28,48352.0,12831.0,169717.0
